UniqueCount	AmbigCount
44	0
432	0
79	21
165	0
88	0
123	9
171	0
13	0
422	0
7	0
297	0
62	0
39	0
56	0
92	0
10	0
24	0
0	35
83	112
56	0
44	2
2	3
430	113
31	0
4	0
0	3
117	0
5	9
0	0
109	0
57	0
0	19
2	33
0	4485
68	0
44	0
19	1
38	0
3	2
124	0
487	11
8	32
207	0
42	0
61	0
22	0
49	0
2243	336
12	3
13	0
39	55
70	0
84	0
12	52
206	0
6	0
35	0
3	16
125	0
239	0
61	0
393	35
212	0
166	0
29	0
3	16
37	0
70	0
94	0
859	51
5	17
75	0
378	0
1312	0
21	68
19	0
0	0
96	0
114	0
218	1868
457	0
151	28
9	0
1	1
308	0
312	0
31	0
14	1
0	1049
94	99
102	0
66	15
17	0
107	0
143	0
38	0
13	144
40	906
41	0
56	0
130	0
2	0
68	0
492	657
116	0
28	0
0	11
55	0
29	0
21	0
273	0
56	63
35	0
20	16
24	0
24	0
498	0
12	0
9	8
68	0
284	0
279	0
0	1700
966	116
65	106
37	0
199	5
182	0
111	0
141	0
138	0
73	0
1	0
26	0
108	336
54	0
115	0
163	0
147	0
82	0
102	0
19	8
163	0
282	9
497	0
142	0
11	150
46	62
157	0
121	0
59	2
82	0
14	0
206	0
112	155
8	24
88	2
111	0
98	0
43	0
2	0
0	0
6788	0
137	0
471	0
143	0
54	0
112	0
36	0
52	0
2	76
284	0
77	0
33	0
52	0
297	0
378	0
60	0
80	0
26	17
127	22
58	0
35	0
0	6
86	0
31	0
49	19
226	0
49	0
37	0
758	0
72	20
252	0
25	2
82	0
1381	0
1002	0
60	0
302	0
179	0
25	0
258	0
48	0
61	0
44	0
150	0
122	0
250	0
61	0
0	4000
430	0
59	0
223	0
113	0
61	0
192	0
17	0
137	0
81	0
2	37
53	0
0	0
1147	0
1	0
7	11
1626	0
28	0
45	0
270	0
594	0
34	0
39	0
62	0
368	0
80	0
37	0
185	0
88	0
2	2
249	0
53	1
31	0
0	179
18	0
25	0
94	0
687	123
266	0
66	0
275	31
1	13
326	56
279	0
55	0
107	0
257	0
276	0
119	0
153	0
66	0
2	37
28	0
41	0
278	0
230	0
42	0
95	0
29	0
55	0
125	0
39	0
0	342
91	0
115	0
6	0
722	0
101	0
0	7
68	0
354	0
101	0
27	0
42	272
0	8241
25	3
37	0
67	0
111	0
27	0
118	0
586	0
455	0
39	0
26	0
56	5
0	14
32	0
345	0
1505	0
1	0
389	0
9	0
165	0
101	0
106	0
3	16
232	658
585	0
8	31
1023	579
25	0
43	0
4	0
0	0
46	0
51	0
63	0
947	0
5	0
39	0
6	0
384	183
3	0
47	0
296	0
0	5
97	0
2	0
34	0
28	0
69	28
201	0
33	0
13	0
33	0
76	0
98	0
195	0
44	0
55	0
263	0
36	0
221	0
163	0
79	0
20	0
41	0
31	0
9	0
78	0
8	0
3	1
0	7
95	1
3	2
24	0
0	15
122	0
216	0
37	0
581	0
101	0
70	13
169	128
37	0
0	0
26	0
30	0
40	0
2	13
40	0
86	0
300	0
113	0
43	0
117	0
110	18
49	0
53	0
109	0
28	0
44	4
136	0
486	0
173	40
95	0
0	5
51	0
19	0
483	0
11	0
1	9
66	0
15	0
145	0
16	0
581	0
26	0
38	21
220	0
73	0
77	0
31	0
820	0
