UniqueCount	AmbigCount
31	0
629	0
43	55
272	0
77	0
85	2
66	0
11	0
246	0
4	0
850	0
71	0
43	0
118	0
23	0
37	5
54	0
0	114
219	238
40	0
47	2
31	3
446	131
23	0
4	0
0	2
125	0
1	3
1	4
33	0
22	0
0	24
1	23
0	1272
44	0
15	0
5	0
64	0
0	0
51	0
90	7
20	86
171	0
41	0
28	0
26	0
103	0
49	23
0	0
27	0
109	62
0	0
107	0
33	79
264	0
14	0
3	0
2	31
162	0
139	0
42	0
208	11
82	0
137	0
17	0
4	14
36	0
179	0
80	0
436	33
45	125
141	0
236	0
473	0
81	123
19	0
5	0
216	0
114	0
503	2219
167	0
226	29
4	0
0	4
282	0
149	0
36	0
13	6
0	183
222	183
83	0
65	21
17	5
62	0
79	0
75	0
36	248
86	735
59	0
39	0
289	0
0	0
61	0
664	1304
128	0
35	0
0	8
71	0
33	0
14	0
214	0
31	19
16	0
202	145
24	0
55	0
432	0
24	0
7	2
26	0
436	0
158	0
2	12931
1144	328
95	166
19	0
631	15
276	0
41	0
163	0
74	0
127	0
4	0
32	0
432	1464
31	0
76	0
120	0
112	0
49	0
167	0
84	21
36	0
170	4
387	0
139	0
23	208
0	63
84	0
76	0
61	6
133	0
13	0
319	0
178	91
35	56
25	7
37	0
81	0
19	0
4	0
4	0
935	0
67	0
267	0
67	0
33	0
22	0
15	0
26	0
1	35
479	0
151	0
16	0
37	0
337	0
246	0
65	0
59	0
141	125
209	14
87	0
24	0
0	3
45	0
27	0
21	21
918	0
21	0
28	0
249	0
110	15
518	0
29	4
50	0
1422	0
2084	0
34	0
1010	0
55	0
31	0
109	0
2921	0
68	0
37	0
364	0
51	0
666	0
8	0
0	1072
601	0
33	0
764	0
31	0
49	0
54	0
40	0
155	0
76	0
5	141
71	0
11	0
546	0
1	0
2	8
1597	0
5	0
52	0
313	0
560	0
27	0
59	0
27	0
562	0
68	0
60	0
383	0
117	0
6	7
105	0
168	2
33	0
0	519
19	0
68	0
62	0
1634	191
121	0
166	0
992	71
1	5
391	65
778	0
106	2
86	0
99	0
