UniqueCount	AmbigCount
23	0
356	0
34	28
178	0
62	0
62	5
45	0
2	0
176	0
1	0
573	0
58	0
24	0
86	0
24	0
31	5
39	0
0	97
95	151
43	0
27	3
23	7
224	73
16	0
8	0
0	0
77	0
3	3
2	3
25	0
19	0
0	14
1	19
0	838
16	0
8	0
5	0
50	0
2	0
27	0
50	2
12	68
127	0
25	0
18	0
19	0
70	0
37	25
1	1
13	0
70	28
0	0
80	0
28	54
178	0
11	0
7	0
5	27
96	0
66	0
27	0
126	14
63	0
75	0
8	0
2	12
19	0
136	0
46	0
379	21
26	63
99	0
136	0
316	0
58	85
8	0
1	0
136	0
96	0
438	1556
98	0
173	20
2	0
0	1
190	0
86	0
29	0
8	1
0	109
112	95
58	0
44	21
13	2
33	0
50	0
50	0
16	136
50	419
43	0
27	0
203	0
0	0
31	0
287	720
91	0
14	0
0	11
41	0
23	0
29	0
148	0
22	14
16	0
162	109
12	0
29	0
316	0
14	0
5	3
14	0
322	0
114	0
4	14941
805	263
57	74
20	0
433	10
199	0
28	0
107	0
37	0
66	0
1	0
30	0
284	859
18	0
58	0
60	0
61	0
30	0
124	0
54	9
22	0
110	6
213	0
80	0
11	153
0	39
46	0
53	0
49	8
108	0
15	0
229	0
94	52
19	32
24	2
26	0
52	0
18	0
6	0
3	0
378	0
36	0
121	0
44	0
31	0
14	0
9	0
21	0
0	32
346	0
89	0
15	0
15	0
251	0
158	0
51	0
35	0
110	63
170	11
67	0
15	0
0	2
29	0
23	0
16	11
734	0
13	0
13	0
127	0
73	11
388	0
34	3
36	0
997	0
1348	0
23	0
810	0
46	0
15	0
76	0
2211	0
51	0
27	0
234	0
21	0
463	0
10	0
0	713
397	0
30	0
497	0
30	0
44	0
28	0
39	0
125	0
27	0
5	105
47	0
8	0
374	0
1	0
3	3
1025	0
6	0
32	0
220	0
447	0
11	0
26	1
13	0
432	0
45	0
44	0
244	0
93	0
6	7
68	0
122	0
23	0
0	283
12	0
36	0
40	0
919	102
77	0
133	0
732	54
0	1
221	35
576	0
66	1
67	0
62	0
152	0
59	0
47	0
642	5
7	14
16	0
24	0
82	0
478	0
10	0
249	0
76	0
111	0
5377	0
41	0
0	33
36	0
42	0
10	0
643	0
64	0
0	4
48	0
92	0
282	0
37	0
11	53
0	2272
31	3
19	0
53	0
109	0
69	0
538	0
396	0
548	0
33	0
9	0
32	1
0	6
21	0
341	0
155	0
1	0
341	0
8	0
26	0
26	0
74	0
2	11
55	122
267	0
9	13
10860	3018
19	0
39	0
20	1
0	0
58	0
34	0
30	0
234	0
3	0
208	0
10	0
129	136
15	0
34	0
389	0
1	4
89	0
0	0
16	0
23	0
94	96
126	0
19	0
12	0
30	0
74	0
37	0
166	0
13	0
37	0
198	0
23	0
321	0
163	0
35	0
16	0
12	0
20	0
11	0
60	0
19	0
2	1
1	7
68	1
7	2
18	0
0	21
175	0
78	0
29	0
180	0
173	0
29	7
99	156
66	0
0	2
43	0
14	0
67	0
0	7
33	0
43	0
175	0
53	0
19	0
58	0
101	18
25	0
41	0
117	0
10	0
35	0
56	0
745	0
357	39
70	0
0	1
12	0
5	0
714	0
11	0
1	2
19	0
7	0
57	0
8	0
200	0
77	0
105	31
299	0
21	0
24	0
27	0
311	0
353	0
284	0
0	0
124	14
100	0
439	0
0	0
29	0
90	0
49	0
42	0
14	0
41	5
68	0
58	0
80	0
9	178
8	28
68	0
2	0
74	0
77	0
54	0
190	0
0	6
119	0
32	0
